LineData,School,County,CasesPriorWeek,StudentsPriorWeek,TeachersPriorWeek,StaffPriorWeek,UnknownPriorWeek,SymptomsPriorWeekNo,SymptomsPriorWeekYes,SymptomsPriorWeekUnknown,CasesTotal,StudentsTotal,TeachersTotal,StaffTotal,UnknownTotal,SymptomsTotalYes,SymptomsTotalNo,SymptomsTotalUnknown
ELLIOTT POINT ELEMENTARY SCHOOL (FORT WALTON BEACH) OKALOOSA 2 2 0 0 0 1 1 0,ELLIOTT POINT ELEMENTARY SCHOOL (FORT WALTON BEACH),OKALOOSA,,,,,,,,,2,2,0,0,0,1,1,0
FLOROSA ELEMENTARY SCHOOL (MARY ESTHER) OKALOOSA 2 1 0 0 1 1 1 0,FLOROSA ELEMENTARY SCHOOL (MARY ESTHER),OKALOOSA,,,,,,,,,2,1,0,0,1,1,1,0
FORT WALTON BEACH HIGH SCHOOL (FORT WALTON BEACH) OKALOOSA 30 24 3 1 2 28 1 1 45 35 3 1 6 43 1 1,FORT WALTON BEACH HIGH SCHOOL (FORT WALTON BEACH),OKALOOSA,30,24,3,1,2,28,1,1,45,35,3,1,6,43,1,1
JAMES E PLEW ELEMENTARY SCHOOL (NICEVILLE) OKALOOSA 1 1 0 0 0 1 0 0 5 4 0 0 1 5 0 0,JAMES E PLEW ELEMENTARY SCHOOL (NICEVILLE),OKALOOSA,1,1,0,0,0,1,0,0,5,4,0,0,1,5,0,0
KENWOOD ELEMENTARY SCHOOL (FORT WALTON BEACH) OKALOOSA 2 0 1 0 1 2 0 0 6 2 1 0 3 6 0 0,KENWOOD ELEMENTARY SCHOOL (FORT WALTON BEACH),OKALOOSA,2,0,1,0,1,2,0,0,6,2,1,0,3,6,0,0
LIZA JACKSON PREPARATORY SCHOOL (FORT WALTON BEACH) OKALOOSA 2 2 0 0 0 2 0 0 3 3 0 0 0 3 0 0,LIZA JACKSON PREPARATORY SCHOOL (FORT WALTON BEACH),OKALOOSA,2,2,0,0,0,2,0,0,3,3,0,0,0,3,0,0
LONGWOOD ELEMENTARY SCHOOL (SHALIMAR) OKALOOSA 5 2 3 0 0 3 2 0,LONGWOOD ELEMENTARY SCHOOL (SHALIMAR),OKALOOSA,,,,,,,,,5,2,3,0,0,3,2,0
LULA J. EDGE ELEMENTARY SCHOOL (NICEVILLE) OKALOOSA 4 4 0 0 0 0 2 2 5 5 0 0 0 1 2 2,LULA J. EDGE ELEMENTARY SCHOOL (NICEVILLE),OKALOOSA,4,4,0,0,0,0,2,2,5,5,0,0,0,1,2,2
MARY ESTHER ELEMENTARY SCHOOL (MARY ESTHER) OKALOOSA 2 2 0 0 0 1 1 0 3 3 0 0 0 2 1 0,MARY ESTHER ELEMENTARY SCHOOL (MARY ESTHER),OKALOOSA,2,2,0,0,0,1,1,0,3,3,0,0,0,2,1,0
MAX BRUNER JUNIOR MIDDLE SCHOOL (FORT WALTON BEACH) OKALOOSA 1 0 0 0 1 1 0 0,MAX BRUNER JUNIOR MIDDLE SCHOOL (FORT WALTON BEACH),OKALOOSA,,,,,,,,,1,0,0,0,1,1,0,0
MONTESSORI LEARNING CENTER OF FT. WALTON (FORT WALTON BEACH) OKALOOSA 1 0 0 0 1 1 0 0,MONTESSORI LEARNING CENTER OF FT. WALTON (FORT WALTON BEACH),OKALOOSA,,,,,,,,,1,0,0,0,1,1,0,0
NICEVILLE SENIOR HIGH SCHOOL (NICEVILLE) OKALOOSA 4 3 0 0 1 3 1 0 14 12 1 0 1 12 2 0,NICEVILLE SENIOR HIGH SCHOOL (NICEVILLE),OKALOOSA,4,3,0,0,1,3,1,0,14,12,1,0,1,12,2,0
NORTHWOOD ELEMENTARY SCHOOL (CRESTVIEW) OKALOOSA 3 2 0 0 1 3 0 0,NORTHWOOD ELEMENTARY SCHOOL (CRESTVIEW),OKALOOSA,,,,,,,,,3,2,0,0,1,3,0,0
OKALOOSA ACADEMY (FORT WALTON BEACH) OKALOOSA 1 0 0 1 0 1 0 0,OKALOOSA ACADEMY (FORT WALTON BEACH),OKALOOSA,,,,,,,,,1,0,0,1,0,1,0,0
OKALOOSA DISTRICT OFFICE (FORT WALTON BEACH) OKALOOSA 2 0 0 1 1 1 1 0 3 0 0 1 2 2 1 0,OKALOOSA DISTRICT OFFICE (FORT WALTON BEACH),OKALOOSA,2,0,0,1,1,1,1,0,3,0,0,1,2,2,1,0
OKALOOSA TECHNICAL COLLEGE AND CHOICE HIGH SCHOOL (FORT WALTON BEACH) OKALOOSA 2 2 0 0 0 2 0 0,OKALOOSA TECHNICAL COLLEGE AND CHOICE HIGH SCHOOL (FORT WALTON BEACH),OKALOOSA,,,,,,,,,2,2,0,0,0,2,0,0
